ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Electric range (km)
1279614,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0344*02,XP13M(A),NSP13(MH),NSP131R-CHFNBW(2R),TOYOTA,TOYOTA YARIS,M1,M1,1,1120,,116,,2510,1485,1470,PETROL,M,1496,82,,,,,,,P,2020,
1279615,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0344*02-w,XP13M(A),NSP13(MH),NSP131R-CHFNBW(2R),TOYOTA,TOYOTA YARIS,M1,M1,1,1120,,116,135,2510,1485,1470,PETROL,M,1496,82,,,,,,,P,2020,
1279616,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0344*02-w,XP13M(A),NSP13(MH),NSP131R-CHFNBW(2R),TOYOTA,TOYOTA YARIS,M1,M1,1,1120,,116,135,2510,1485,1470,PETROL,M,1496,82,,,,,,,P,2020,
1279617,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0344*02,XP13M(A),NSP13(MH),NSP131R-CHFNBW(2R),TOYOTA,TOYOTA YARIS,M1,M1,1,1120,,116,,2510,1485,1470,PETROL,M,1496,82,,,,,,,P,2020,
1279618,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0344*02,XP13M(A),NSP13(MH),NSP131R-CHFNBW(2R),TOYOTA,TOYOTA YARIS,M1,M1,1,1120,,116,,2510,1485,1470,PETROL,M,1496,82,,,,,,,P,2020,
1279619,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0344*02,XP13M(A),NSP13(MH),NSP131R-CHFNBW(2R),TOYOTA,TOYOTA YARIS,M1,M1,1,1120,,116,,2510,1485,1470,PETROL,M,1496,82,,,,,,,P,2020,
1280212,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0344*02,XP13M(A),NSP13(MH),NSP131R-CHFNBW(2R),TOYOTA,TOYOTA YARIS,M1,M1,1,1120,,116,,2510,1485,1470,PETROL,M,1496,82,,,,,,,P,2020,
1280213,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0344*02,XP13M(A),NSP13(MH),NSP131R-CHFNBW(2R),TOYOTA,TOYOTA YARIS,M1,M1,1,1120,,116,,2510,1485,1470,PETROL,M,1496,82,,,,,,,P,2020,
1280214,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0344*02,XP13M(A),NSP13(MH),NSP131R-CHFNBW(2R),TOYOTA,TOYOTA YARIS,M1,M1,1,1120,,116,,2510,1485,1470,PETROL,M,1496,82,,,,,,,P,2020,
1280215,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e11*2007/46*0152*11,XP13M(A),NSP13(MH),NSP131R-CHXGBW(2M),TOYOTA,TOYOTA YARIS,M1,M1,1,1140,,113,,2510,1465,1455,PETROL,M,1496,82,,,,,,,P,2020,
1280216,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0344*00,XP13M(A),NSP13(MH),NSP131R-CHXGBW(2Q),TOYOTA,TOYOTA YARIS,M1,M1,1,1140,,113,,2510,1465,1455,PETROL,M,1496,82,,,,,,,P,2020,
